species,age,SLA_m2_kg,Reference
Betula pendula,10,6.5,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pendula,11,13.5,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pendula,12,4.4,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pendula,14,13.4,"Rosenvald, K., Ostonen, I., Uri, V., Varik, M., Tedersoo, L., Lõhmus, K., 2013. Tree age effect on fine-root and leaf morphology in a silver birch forest chronosequence. European Journal of Forest Research 132, 219-230."
Betula pendula,15,16.31,"Van Nevel, L. 2015. Tree species effects on Cd and Zn mobility after afforestation of contaminated soils in the Campine region (northern Belgium). PhD thesis."
Betula pendula,16,14.1,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pendula,17,15.2,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pendula,26,13.1,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pendula,32,18.4,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pendula,32,13.4,"Rosenvald, K., Ostonen, I., Uri, V., Varik, M., Tedersoo, L., Lõhmus, K., 2013. Tree age effect on fine-root and leaf morphology in a silver birch forest chronosequence. European Journal of Forest Research 132, 219-230."
Betula pendula,45,11.3,"Rosenvald, K., Ostonen, I., Uri, V., Varik, M., Tedersoo, L., Lõhmus, K., 2013. Tree age effect on fine-root and leaf morphology in a silver birch forest chronosequence. European Journal of Forest Research 132, 219-230."
Betula pendula,60,10.5,"Rosenvald, K., Ostonen, I., Uri, V., Varik, M., Tedersoo, L., Lõhmus, K., 2013. Tree age effect on fine-root and leaf morphology in a silver birch forest chronosequence. European Journal of Forest Research 132, 219-230."
Betula pubescens,6,12.1,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pubescens,6,4.8,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pubescens,7,14.1,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pubescens,7,16.4,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pubescens,8,12.2,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pubescens,11,11,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pubescens,11,10.2,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pubescens,12,14.4,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pubescens,14,14,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pubescens,20,13.8,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Castania sativa,5,14.2,"Covone F, L. G., 2006. Age-related physiological and structural traits of chestnut coppices at the Castelli Romani Park (Italy). Annals of Forest Science 63, 239-247."
Castania sativa,7,14.2,"Covone F, L. G., 2006. Age-related physiological and structural traits of chestnut coppices at the Castelli Romani Park (Italy). Annals of Forest Science 63, 239-247."
Castania sativa,10,14.2,"Covone F, L. G., 2006. Age-related physiological and structural traits of chestnut coppices at the Castelli Romani Park (Italy). Annals of Forest Science 63, 239-247."
Castania sativa,12,14.2,"Covone F, L. G., 2006. Age-related physiological and structural traits of chestnut coppices at the Castelli Romani Park (Italy). Annals of Forest Science 63, 239-247."
Castania sativa,17,14.2,"Covone F, L. G., 2006. Age-related physiological and structural traits of chestnut coppices at the Castelli Romani Park (Italy). Annals of Forest Science 63, 239-247."
Castania sativa,23,14.2,"Covone F, L. G., 2006. Age-related physiological and structural traits of chestnut coppices at the Castelli Romani Park (Italy). Annals of Forest Science 63, 239-247."
Castania sativa,26,14.2,"Covone F, L. G., 2006. Age-related physiological and structural traits of chestnut coppices at the Castelli Romani Park (Italy). Annals of Forest Science 63, 239-247."
Castania sativa,30,14.2,"Covone F, L. G., 2006. Age-related physiological and structural traits of chestnut coppices at the Castelli Romani Park (Italy). Annals of Forest Science 63, 239-247."
Castania sativa,68,19.7,"Çakmak, A., Özbucak, T., Türkiş, S., 2013. Foliar Resorption in Castanea Sativa mill. Along A Growth Period in Disturbed and Undisturbed Areas in Ordu/ Turkey. Digital Proceeding Of THE ICOEST’2013 - Cappadocia, Nevsehir, Turkey (June 18 - 21)."
Castania sativa,70,10.1,"Gratani, L., Bombelli, A., Crescente, M. F., 2003. Leaf area index (LAI) map of a protected area within the caldera of Vico Lake (Italy). Plant Biosystems 137, 141-147."
Carpinus betulus,5,24.57002457,"Kuehne, C., Nosko, P., Horwath, T., Bauhus, J., 2014. A comparative study of physiological and morphological seedling traits associated with shade tolerance in introduced red oak (Quercus rubra) and native hardwood tree species in southwestern Germany. Tree Physiology 34, 184-193."
Carpinus betulus,80,17.9,"Hölscher, D., 2004. Leaf traits and photosynthetic parameters of saplings and adult trees of co-existing species in a temperate broad-leaved forest. Basic and Applied Ecology 5, 163-172."
Carpinus betulus,100,17.365,"Legner, N., Fleck, S., Leuschner, C., 2014. Within-canopy variation in photosynthetic capacity, SLA and foliar N in temperate broad-leaved trees with contrasting shade tolerance.  28, 263-280."
Carpinus betulus,100,19.465,"Legner, N., Fleck, S., Leuschner, C., 2013. Low light acclimation in five temperate broad-leaved tree species of different successional status: the significance of a shade canopy. Annals of Forest Science 70, 557-570."
Fraxinus excelsior,3,30.3030303,"Barthod, S., Epron, D., 2005. Variations of construction cost associated to leaf area renewal in saplings of two co-occurring temperate tree species (Acer platanoides L. and Fraxinus excelsior L.) along a light gradient. Annals of Forest Science 62, 545-551."
Fraxinus excelsior,14.4,20.57189879,"Petritan, A. M., von Lüpke, B., Petritan, I. C., 2010. A comparative analysis of foliar chemical composition and leaf construction costs of beech (Fagus sylvatica L.), sycamore maple (Acer pseudoplatanus L.) and ash (Fraxinus excelsior L.) saplings along a light gradient. Annals of Forest Science 67, 610."
Fraxinus excelsior,22,15.5,"Le Goff, N., Ottorini, J.-M., 1996. Leaf development and stem growth of Ash (Fraxinus excelsior) as affected by tree competitive status. Journal of Applied Ecology 33, 793-802."
Fraxinus excelsior,25,15.05333333,"Le Goff, N., Granier, A., Ottorini, J.-M., Peiffer, M., 2004. Biomass increment and carbon balance of ash (Fraxinus excelsior) trees in an experimental stand in northeastern France. Annals of Forest Science 61, 577-588."
Fraxinus excelsior,80,12.9,"Hölscher, D., 2004. Leaf traits and photosynthetic parameters of saplings and adult trees of co-existing species in a temperate broad-leaved forest. Basic and Applied Ecology 5, 163-172."
Fraxinus excelsior,100,13.24,"Legner, N., Fleck, S., Leuschner, C., 2013. Low light acclimation in five temperate broad-leaved tree species of different successional status: the significance of a shade canopy. Annals of Forest Science 70, 557-570."
Fraxinus excelsior,100,11.965,"Legner, N., Fleck, S., Leuschner, C., 2014. Within-canopy variation in photosynthetic capacity, SLA and foliar N in temperate broad-leaved trees with contrasting shade tolerance.  28, 263-280."
Fagus sylvatica,3,30.2,"Adriaenssens, S., Staelens, J., Wuyts, K., Schrijver, A. d., Wittenberghe, S. V., Wuytack, T., Kardel, F., Verheyen, K., Samson, R., Boeckx, P., 2011. Foliar nitrogen uptake from wet deposition and the relation with leaf wettability and water storage capacity. Water, Air, & Soil Pollution 219, 43-57."
Fagus sylvatica,5,22.29033157,"Aranda, I., Bergasa, L. F., Gil, L., Pardos, J. A., 2001. Effects of relative irradiance on the leaf structure of Fagus sylvatica L. seedlings planted in the understory of a Pinus sylvestris L. stand after thinning. Annals of Forest Science 58, 673-680."
Fagus sylvatica,8,21.66666667,"Closa, I., Irigoyen, J. J., Goicoeche, N., 2010. Microclimatic conditions determined by stem density influence leaf anatomy and leaf physiology of beech (Fagus sylvatica L.) growing within stands that naturally regenerate from clear-cutting. Trees 24, 1029-1043."
Fagus sylvatica,11,17.2,"Bartelink, H. H., 1997. Allometric relationships for biomass and leaf area of beech (Fagus sylvatica L). Annals of Forest Science 54, 39-50."
Fagus sylvatica,11.5,31.6410647,
Fagus sylvatica,12,30,"Konôpka, B., Pajtík, J., 2014. Similar foliage area but contrasting foliage biomass between young beech and spruce stands. Lesn. Cas. For. J. 60, 205-213."
Fagus sylvatica,13,25.66666667,"Closa, I., Irigoyen, J. J., Goicoeche, N., 2010. Microclimatic conditions determined by stem density influence leaf anatomy and leaf physiology of beech (Fagus sylvatica L.) growing within stands that naturally regenerate from clear-cutting. Trees 24, 1029-1043."
Fagus sylvatica,13,27.3,"Konôpka, B., Pajtík, J., Marušák, R., Bošel’a, M., Lukac, M., 2016. Specific leaf area and leaf area index in developing stands of Fagus sylvatica L. and Picea abies Karst. Forest Ecology and Management 364, 52-59."
Fagus sylvatica,14.4,29.55082742,"Petritan, A. M., von Lüpke, B., Petritan, I. C., 2010. A comparative analysis of foliar chemical composition and leaf construction costs of beech (Fagus sylvatica L.), sycamore maple (Acer pseudoplatanus L.) and ash (Fraxinus excelsior L.) saplings along a light gradient. Annals of Forest Science 67, 610 AND Petritan, A. M., von Lüpke, B., Petritan, I. C., 2009. Influence of light availability on growth, leaf morphology and plant architecture of beech (Fagus sylvatica L.), maple (Acer pseudoplatanus L.) and ash (Fraxinus excelsior L.) saplings. European Journal of Forest Research 128, 61-74."
Fagus sylvatica,20.5,17.2,"Bartelink, H. H., 1997. Allometric relationships for biomass and leaf area of beech (Fagus sylvatica L). Annals of Forest Science 54, 39-50."
Fagus sylvatica,32,28.7,"Withington, J. M., Reich, P. B., Oleksyn, J., Eissenstat, D. M., 2006. Comparisons of structure and life span in roots and leaves among temperate trees. Ecological Monographs 76, 381-397."
Fagus sylvatica,35,13.79310345,"Montpied, P., Granier, A., Dreyer, E., 2009. Seasonal time-course of gradients of photosynthetic capacity and mesophyll conductance to CO2 across a beech (Fagus sylvatica L.) canopy. Journal of Experimental Botany 60, 2407-2418."
Fagus sylvatica,35,23.2,"Bouriaud, O., Soudani, K., Bréda, N., 2003. Leaf area index from litter collection: impact of specific leaf area variability within a beech stand. Canadian Journal of Remote Sensing 29, 371-380."
Fagus sylvatica,35,23,"Lichtenthaler, H. K., Ač, A., Marek, M. V., Kalina, J., Urban, O., 2007. Differences in pigment composition, photosynthetic rates and chlorophyll fluorescence images of sun and shade leaves of four tree species. Plant Physiology and Biochemistry 45, 577-588."
Fagus sylvatica,39.66666667,17.2,"Bartelink, H. H., 1997. Allometric relationships for biomass and leaf area of beech (Fagus sylvatica L). Annals of Forest Science 54, 39-50."
Fagus sylvatica,56,27.025,"Sarijeva, G., Knapp, M., Lichtenthater, H. K., 2007. Differences in photosynthetic activity, chlorophyll and carotenoid levels, and in chlorophyll fluorescence parameters in green sun and shade leaves of Ginkgo and Fagus. Journal of Plant Physiology 164, 950-955."
Fagus sylvatica,58.5,17.2,"Bartelink, H. H., 1997. Allometric relationships for biomass and leaf area of beech (Fagus sylvatica L). Annals of Forest Science 54, 39-50."
Fagus sylvatica,82,20,"Pilegaard, K., Mikkelsen, T. N., Beier, C., Jensen, N. O., Ambus, P., Ro-Poulsen, H., 2003. Field measurements of atmosphere-biosphere interactions in a Danish beech forest. Boreal Environment Research 8, 315-333."
Fagus sylvatica,85,24.11963338,"Leuschner, C., Voß, S., Foetzki, A., Clases, Y., 2006. Variation in leaf area index and stand leaf mass of European beech across gradients of soil acidity and precipitation. Plant Ecology 186, 247-258."
Fagus sylvatica,85,20.500205,"Leuschner, C., Voß, S., Foetzki, A., Clases, Y., 2006. Variation in leaf area index and stand leaf mass of European beech across gradients of soil acidity and precipitation. Plant Ecology 186, 247-258."
Fagus sylvatica,90,20.75,"Meier, I. C., Leuschner, C., 2008. Leaf size and leaf area index in Fagus sylvatica forests: Competing effects of precipitation, temperature, and nitrogen availability. Ecosystems 11, 655-669."
Fagus sylvatica,98,20.65,"Meier, I. C., Leuschner, C., 2008. Leaf size and leaf area index in Fagus sylvatica forests: Competing effects of precipitation, temperature, and nitrogen availability. Ecosystems 11, 655-669."
Fagus sylvatica,99,20.6,"Meier, I. C., Leuschner, C., 2008. Leaf size and leaf area index in Fagus sylvatica forests: Competing effects of precipitation, temperature, and nitrogen availability. Ecosystems 11, 655-669."
Fagus sylvatica,99,21,"Meier, I. C., Leuschner, C., 2008. Leaf size and leaf area index in Fagus sylvatica forests: Competing effects of precipitation, temperature, and nitrogen availability. Ecosystems 11, 655-669."
Fagus sylvatica,100,25.33333333,"Closa, I., Irigoyen, J. J., Goicoeche, N., 2010. Microclimatic conditions determined by stem density influence leaf anatomy and leaf physiology of beech (Fagus sylvatica L.) growing within stands that naturally regenerate from clear-cutting. Trees 24, 1029-1043."
Fagus sylvatica,100,14.165,"Legner, N., Fleck, S., Leuschner, C., 2014. Within-canopy variation in photosynthetic capacity, SLA and foliar N in temperate broad-leaved trees with contrasting shade tolerance.  28, 263-280."
Fagus sylvatica,100,14.04,"Legner, N., Fleck, S., Leuschner, C., 2013. Low light acclimation in five temperate broad-leaved tree species of different successional status: the significance of a shade canopy. Annals of Forest Science 70, 557-570."
Fagus sylvatica,100,22.47191011,"Leuschner, C., Voß, S., Foetzki, A., Clases, Y., 2006. Variation in leaf area index and stand leaf mass of European beech across gradients of soil acidity and precipitation. Plant Ecology 186, 247-258."
Fagus sylvatica,100,21.58105184,"Barna, M., 2004. Adaptation of European beech (Fagus sylvatica L.) to different ecological conditions: Leaf size variation. Polish Journal of Ecology 52, 35-45."
Fagus sylvatica,107,24.58210423,"Leuschner, C., Voß, S., Foetzki, A., Clases, Y., 2006. Variation in leaf area index and stand leaf mass of European beech across gradients of soil acidity and precipitation. Plant Ecology 186, 247-258."
Fagus sylvatica,114,22.10433245,"Leuschner, C., Voß, S., Foetzki, A., Clases, Y., 2006. Variation in leaf area index and stand leaf mass of European beech across gradients of soil acidity and precipitation. Plant Ecology 186, 247-258."
Fagus sylvatica,115,22.08968412,"Leuschner, C., Voß, S., Foetzki, A., Clases, Y., 2006. Variation in leaf area index and stand leaf mass of European beech across gradients of soil acidity and precipitation. Plant Ecology 186, 247-258."
Fagus sylvatica,115,22.08480565,"Leuschner, C., Voß, S., Foetzki, A., Clases, Y., 2006. Variation in leaf area index and stand leaf mass of European beech across gradients of soil acidity and precipitation. Plant Ecology 186, 247-258."
Fagus sylvatica,117,20.86811352,"Leuschner, C., Voß, S., Foetzki, A., Clases, Y., 2006. Variation in leaf area index and stand leaf mass of European beech across gradients of soil acidity and precipitation. Plant Ecology 186, 247-258."
Fagus sylvatica,117,23.74169041,"Leuschner, C., Voß, S., Foetzki, A., Clases, Y., 2006. Variation in leaf area index and stand leaf mass of European beech across gradients of soil acidity and precipitation. Plant Ecology 186, 247-258."
Fagus sylvatica,117,23.56823003,"Leuschner, C., Voß, S., Foetzki, A., Clases, Y., 2006. Variation in leaf area index and stand leaf mass of European beech across gradients of soil acidity and precipitation. Plant Ecology 186, 247-258."
Fagus sylvatica,119,22.58355917,"Leuschner, C., Voß, S., Foetzki, A., Clases, Y., 2006. Variation in leaf area index and stand leaf mass of European beech across gradients of soil acidity and precipitation. Plant Ecology 186, 247-258."
Fagus sylvatica,119,22.97266253,"Leuschner, C., Voß, S., Foetzki, A., Clases, Y., 2006. Variation in leaf area index and stand leaf mass of European beech across gradients of soil acidity and precipitation. Plant Ecology 186, 247-258."
Fagus sylvatica,119,20.79866889,"Leuschner, C., Voß, S., Foetzki, A., Clases, Y., 2006. Variation in leaf area index and stand leaf mass of European beech across gradients of soil acidity and precipitation. Plant Ecology 186, 247-258."
Fagus sylvatica,120,22.49212776,"Leuschner, C., Voß, S., Foetzki, A., Clases, Y., 2006. Variation in leaf area index and stand leaf mass of European beech across gradients of soil acidity and precipitation. Plant Ecology 186, 247-258."
Fagus sylvatica,122,20.18570852,"Leuschner, C., Voß, S., Foetzki, A., Clases, Y., 2006. Variation in leaf area index and stand leaf mass of European beech across gradients of soil acidity and precipitation. Plant Ecology 186, 247-258."
Fagus sylvatica,123,22.45,"Meier, I. C., Leuschner, C., 2008. Leaf size and leaf area index in Fagus sylvatica forests: Competing effects of precipitation, temperature, and nitrogen availability. Ecosystems 11, 655-669."
Fagus sylvatica,126,19.55,"Meier, I. C., Leuschner, C., 2008. Leaf size and leaf area index in Fagus sylvatica forests: Competing effects of precipitation, temperature, and nitrogen availability. Ecosystems 11, 655-669."
Fagus sylvatica,131,22.2,"Meier, I. C., Leuschner, C., 2008. Leaf size and leaf area index in Fagus sylvatica forests: Competing effects of precipitation, temperature, and nitrogen availability. Ecosystems 11, 655-669."
